persona,kpi
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days)
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy)
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio
Executive Leadership; CRO,Product Mix %; Portfolio Allocation
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days)
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy)
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio
Executive Leadership; CRO,Product Mix %; Portfolio Allocation
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly
Risk & Credit Analytics Manager; CRO; Compliance Officer,90+ DPD Rate; Delinquency Ratio; Non-Performing Loan %
Finance / Treasury Manager; Branch / Regional Manager,Total Deposit Balance by Geography; Concentration Risk
Product Manager; Member Analytics Lead,Early Closure Rate; Account Churn (≤90 days)
Finance Manager; CRO; Product Manager,Portfolio Mix %; Credit Card Exposure by Balance
Member Analytics Lead; Compliance Officer,Dormant Account Rate; Inactivity Ratio
Member Analytics Lead; Executive Leadership,Average Account Tenure; Member Lifetime Value (proxy)
Member Analytics Lead; Product Manager,Active Account Tenure; Retention Duration
Product Manager; Risk Manager,Monthly Closure Rate; Product Attrition Rate
Member Analytics Lead; CRO,Long-Tenure Account %; Dormant vs Active Ratio
Executive Leadership; CRO,Product Mix %; Portfolio Allocation
CEO; COO; Board; CRO,"Composite Health Score (Capital, Asset Quality, Earnings, Liquidity, Growth)"
Risk Manager; Finance Manager,High-Balance Exposure; Concentration Risk
Fraud Analyst; Risk Manager,Transfer Limit Exposure; Operational Risk Indicator
Fraud Analyst; Card Product Manager,ATM Utilization Rate; Limit Utilization Anomaly
